"id","nombre","id_puntoop","local_num","nombre_comercial","provincia","data_update","data_html"
1,"AhorraCash/Bonacash",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
2,"Aitana",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
3,"Albir Garden",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
4,"Alifoods/Guillen",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
5,"Boprezo",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
6,"Campofresh",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
7,"Cardona",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
8,"Casalma",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
9,"Cash Zafra/MerkaCash",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
10,"Cifra",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
11,"Comercial Guadalupe",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
12,"Conepahi",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
13,"Continuos Levante",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
14,"Corbalan",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
15,"Donemes",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
16,"El Pino",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
17,"Excluib",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
18,"Exclusivas del Bebe",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
19,"Explotaciones Garajao",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
20,"Gestion Interna",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
21,"Hermanos Galiana",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
22,"HiperAsia",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
23,"Hiperber",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
24,"Hipergomera",NULL,NULL,NULL,NULL,"2022-06-11 16:48:31.333+00",NULL
