"id","nombre","antes","despues"
18,"Exclusivas del Bebe","Exclusivas del Bebé","Exclusivas del Bebé"
20,"Gestion Interna","Gestión Interna","Gestión Interna"
34,"Martinez Hermanos","Martínez Hermanos","Martínez Hermanos"
36,"Morera Alimentacion","Morera Alimentación","Morera Alimentación"
46,"Super G/Exclusivas Gutierrez","Súper G/Exclusivas Gutierrez","Súper G/Exclusivas Gutierrez"
50,"Antas","Cash Antas","Cash Antas"
51,"Mymercat","MyMercat","MyMercat"
52,"CostaBlanca","Costablanca","Costablanca"
55,"Acostavera","Acostavera","Acostavera"
58,"Sangüi","Meseguer","Meseguer"
59,"Venta Nueva","Venta Nueva","Venta Nueva"
